LabID,CRA,Error,Site_Code,Site_Name,SiteContext,Longitude,Latitude,Source,Comments
AA-56351,7283,43,TBS,Tol-e Bashi,"Unit C Loc61, Level V; Level V; Unit C, Locus 61",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-56352,5830,42,TBS,Tol-e Bashi,"Unit C Loc68, Level VI; Level VI; Unit C, Locus 68",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-56353,7028,39,TBS,Tol-e Bashi,"Unit D Loc13, Level IV; Level IV; Unit D, Locus 13",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-56354,7132,40,TBS,Tol-e Bashi,"Unit C Loc54, Level V; Level V; Unit C, Locus 54",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-56355,7157,42,TBS,Tol-e Bashi,"Unit D Loc11, Level IV; Level IV; Unit D, Locus 11",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-58025,5837,40,TBS,Tol-e Bashi,"Unit C Loc70, Level VI; Level VI; Unit C, Locus 70",52.59,30.08,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
OZI-128,6950,50,TNB,Tol-e Nurabad,"Tra.A., Ph.A25; A25; Tr. A",51.5207,30.122,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Wk-13989,6488,54,TNB,Tol-e Nurabad,"Tra.A., Ph.A27; A27 (layer on virgin soil); Tr. A",51.5207,30.122,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Wk-13990,6977,56,TNB,Tol-e Nurabad,"Tra.A., Ph.A26; A26; Tr. A",51.5207,30.122,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Wk-13991,6952,61,TNB,Tol-e Nurabad,"Tra.A., Ph.A24b; A24b; Tr. A",51.5207,30.122,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Wk-13992,6938,54,TNB,Tol-e Nurabad,"Tra.A., Ph.A23; A23; Tr. A",51.5207,30.122,Pollock et al. 2010; Marshall 2012; CalPal; Flohr et al. 2016,
